1                                       |                                        |METRIC                                                                                                                                                                              |Today               |Yesterday           |Current Wk          |Mth.to Date         |    March           |TARGET              |                    |                    |
3                                       |AMBULANCE ACTIVITY                      |Ambulance Volume (Daily Avg)                                                                                                                                                        |    12              |    36              |    35              |    33              |    38              |                    |                    |                    |
                                        |AMBULANCE ACTIVITY                      |Ambulance Offload Time (Daily Median)                                                                                                                                               |                    |     0.1            |     0.1            |     0.1            |     0.1            |.5                  |UNDER               |TIME                |
                                        |AMBULANCE ACTIVITY                      |Ambulance Offload Time (90th %)                                                                                                                                                     |                    |     0.2            |     0.3            |     0.3            |     0.5            |.5                  |UNDER               |TIME                |
7                                       |ED VOLUME ACTIVITY                      |Total ED Visits (Daily Avg)                                                                                                                                                         |    50              |   165              |   170              |   154              |   172              |                    |                    |                    |
                                        |ED VOLUME ACTIVITY                      |Total Admitted from ED (Daily Avg)                                                                                                                                                  |     3              |    20              |    20              |    18              |    21              |                    |                    |                    |
                                        |ED VOLUME ACTIVITY                      |ED Visits CTAS 1 (%)                                                                                                                                                                |                    |     1              |     1              |     0              |     0              |                    |                    |PCNT                |
                                        |ED VOLUME ACTIVITY                      |ED Visits CTAS 2 (%)                                                                                                                                                                |    34              |    22              |    19              |    21              |    22              |                    |                    |PCNT                |
                                        |ED VOLUME ACTIVITY                      |ED Visits CTAS 3 (%)                                                                                                                                                                |    46              |    48              |    52              |    54              |    52              |                    |                    |PCNT                |
                                        |ED VOLUME ACTIVITY                      |ED Visits CTAS 4 (%)                                                                                                                                                                |    16              |    24              |    24              |    21              |    23              |                    |                    |PCNT                |
                                        |ED VOLUME ACTIVITY                      |ED Visits CTAS 5 (%)                                                                                                                                                                |     4              |     6              |     4              |     3              |     3              |                    |                    |PCNT                |
14                                      |ED LENGTH OF STAY ACTIVITY              |ED LOS (Daily Median)                                                                                                                                                               |     1.9            |     3.3            |     3.1            |     2.8            |     3.1            |                    |                    |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS (90th %)                                                                                                                                                                     |     4.3            |     8.0            |     7.3            |     7.3            |     9.2            |                    |                    |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - CTAS 1 - 3 Non-Admitted (Med)                                                                                                                                              |     2.1            |     3.6            |     3.2            |     3.0            |     3.2            |                    |                    |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - CTAS 1 - 3 Non-Admitted (90th %)                                                                                                                                           |     4.3            |     8.0            |     7.1            |     6.8            |     6.7            |7.0                 |UNDER               |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - CTAS 4 & 5 Non-Admitted (Med)                                                                                                                                              |     0.9            |     2.1            |     2.2            |     1.9            |     2.0            |                    |                    |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - CTAS 4 & 5 Non-Admitted (90th %)                                                                                                                                           |     2.1            |     5.1            |     4.3            |     4.0            |     4.1            |4.0                 |UNDER               |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - RAZ (Med)                                                                                                                                                                  |     1.7            |     2.9            |     2.4            |     2.1            |     2.4            |                    |                    |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - AC (Med)                                                                                                                                                                   |     0.8            |     1.5            |     1.5            |     1.3            |     1.3            |                    |                    |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - MAJ (Med)                                                                                                                                                                  |     3.1            |     5.0            |     5.5            |     4.7            |     5.2            |                    |                    |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - Admitted Patients (Daily Median)                                                                                                                                           |     2.5            |     6.1            |     6.3            |     6.3            |    10.6            |                    |                    |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - Admitted Patients (90th %)                                                                                                                                                 |     7.9            |    13.0            |    12.9            |    12.9            |    19.2            |20.0                |UNDER               |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LOS - Non-Admitted Patients (Daily Median)                                                                                                                                       |     1.9            |     2.8            |     2.8            |     2.6            |     2.7            |                    |                    |TIME                |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LWBS Volume (Daily Avg)                                                                                                                                                          |                    |                    |     1              |     2              |     2              |                    |                    |                    |
                                        |ED LENGTH OF STAY ACTIVITY              |ED LWBS Percentage of Total Pts Triaged                                                                                                                                             |     0.0            |     0.0            |     0.6            |     1.1            |     1.4            |                    |                    |                    |
5                                       |CDU ACTIVITY                            |CDU Volume (Count)                                                                                                                                                                  |     4              |    12              |    60              |   119              |   397              |                    |                    |                    |
                                        |CDU ACTIVITY                            |CDU Admit Rate (%)                                                                                                                                                                  |                    |     8              |     5              |     8              |     9              |30                  |UNDER               |PCNT                |
                                        |CDU ACTIVITY                            |CDU Cases with LOS > 24hrs (Count)                                                                                                                                                  |                    |                    |                    |     2              |     5              |                    |                    |                    |
                                        |CDU ACTIVITY                            |CDU LOS (Med)                                                                                                                                                                       |     1.9            |     4.7            |     3.6            |     3.4            |     3.7            |                    |                    |TIME                |
                                        |CDU ACTIVITY                            |CDU LOS (90th %)                                                                                                                                                                    |     4.0            |     6.9            |     8.4            |    10.1            |    12.2            |                    |                    |TIME                |
6                                       |DIAGNOSTIC IMAGING ACTIVITY             |Wait Time for Ultrasound (Med)                                                                                                                                                      |     0.9            |     1.5            |     2.2            |     1.5            |                    |                    |                    |TIME                |
